Center,Throttle,Steering,Brake,Gear
100002536.0,0.0,0.0,0.0,1.0
100002537.0,0.0,0.0,0.0,1.0
100002538.0,0.0,0.0,0.0,1.0
100002539.0,0.0,0.0,0.0,1.0
100002540.0,0.0,0.0,0.0,1.0
100002541.0,0.0,0.0,0.0,1.0
100002542.0,0.0,0.0,0.0,1.0
100002543.0,0.0,0.0,0.0,1.0
100002544.0,0.0,0.0,0.0,1.0
100002546.0,0.0,0.0,0.0,1.0
100002547.0,0.0,0.0,0.0,1.0
100002548.0,1.0,0.0,0.0,1.0
100002549.0,1.0,0.0,0.0,1.0
100002550.0,1.0,0.0,0.0,1.0
100002551.0,1.0,0.0,0.0,1.0
100002552.0,1.0,0.0,0.0,1.0
100002553.0,1.0,0.0,0.0,1.0
100002554.0,1.0,0.0,0.0,1.0
100002555.0,1.0,0.0,0.0,1.0
100002556.0,1.0,0.0,0.0,1.0
100002557.0,1.0,0.0,0.0,1.0
100002558.0,1.0,0.0,0.0,1.0
100002559.0,1.0,0.0,0.0,1.0
100002562.0,1.0,0.0,0.0,0.0
100002563.0,1.0,0.0,0.0,0.0
100002564.0,1.0,0.0,0.0,0.0
100002565.0,1.0,0.0,0.0,0.0
100002566.0,1.0,0.0,0.0,0.0
100002567.0,1.0,0.0,0.0,2.0
100002568.0,1.0,0.0,0.0,2.0
100002569.0,1.0,0.0,0.0,2.0
100002570.0,1.0,0.0,0.0,2.0
100002571.0,1.0,0.0,0.0,2.0
100002572.0,1.0,0.0,0.0,2.0
100002573.0,1.0,0.0,0.0,2.0
100002574.0,1.0,0.0,0.0,2.0
100002575.0,1.0,0.0,0.0,2.0
100002576.0,1.0,0.0,0.0,2.0
100002577.0,1.0,0.0,0.0,2.0
100002578.0,1.0,0.0,0.0,2.0
100002579.0,1.0,0.0,0.0,2.0
100002580.0,1.0,0.0,0.0,2.0
100002581.0,1.0,0.0,0.0,2.0
100002582.0,1.0,0.0,0.0,2.0
100002583.0,1.0,0.0,0.0,2.0
100002584.0,1.0,0.0,0.0,0.0
100002585.0,1.0,0.0,0.0,0.0
100002586.0,1.0,0.0,0.0,0.0
100002587.0,1.0,0.0,0.0,0.0
100002588.0,1.0,0.0,0.0,0.0
100002589.0,1.0,0.0,0.0,0.0
100002590.0,1.0,0.0,0.0,3.0
100002591.0,1.0,0.0,0.0,3.0
100002592.0,1.0,0.0,0.0,3.0
100002593.0,1.0,0.0,0.0,3.0
100002594.0,0.0,0.0,0.0,3.0
100002595.0,0.0,0.0,0.0,3.0
100002596.0,0.0,0.0,0.0,3.0
100002597.0,0.0,0.0,0.0,3.0
100002598.0,0.0,0.0,0.0,3.0
100002599.0,0.0,0.0,0.0,3.0
100002600.0,0.0,0.0,0.0,3.0
100002601.0,0.0,0.0,0.0,3.0
100002603.0,0.0,0.0,0.0,3.0
100002604.0,0.0,0.0,0.0,3.0
100002605.0,0.0,0.0,0.0,3.0
100002606.0,0.0,0.0,0.0,3.0
100002607.0,0.0,0.0,0.0,3.0
100002609.0,0.0,0.0,0.0,3.0
100002608.0,0.0,0.0,0.0,0.0
100002610.0,0.0,0.0,0.0,0.0
100002611.0,0.0,0.0,0.0,0.0
100002612.0,0.0,0.0,0.0,0.0
100002613.0,0.0,0.0,1.0,2.0
100002616.0,0.0,0.0,1.0,2.0
100002617.0,0.5,0.0,0.0,2.0
100002618.0,0.5,0.0,0.0,2.0
100002620.0,0.5,0.0,0.0,2.0
100002621.0,0.5,0.0,0.0,2.0
100002622.0,0.5,0.0,0.0,2.0
100002623.0,0.5,0.0,0.0,2.0
100002624.0,0.5,0.0,0.0,2.0
100002625.0,0.5,0.0,0.0,2.0
100002626.0,0.5,0.0,0.0,2.0
100002627.0,0.5,0.0,0.0,2.0
100002628.0,0.5,0.0,0.0,2.0
100002629.0,0.5,0.0,0.0,2.0
100002630.0,0.5,0.0,0.0,0.0
100002631.0,0.5,0.0,0.0,0.0
100002632.0,0.5,0.0,0.0,0.0
100002634.0,0.5,0.0,0.0,0.0
100002635.0,0.5,0.0,0.0,0.0
100002636.0,0.5,0.0,0.0,0.0
100002637.0,0.5,0.0,0.0,1.0
100002638.0,0.5,0.0,0.0,1.0
100002640.0,0.5,0.0,0.0,1.0
100002641.0,1.0,0.0,0.0,1.0
100002642.0,1.0,0.0,0.0,1.0
100002643.0,1.0,0.0,0.0,1.0
100002644.0,1.0,-0.00604,0.0,1.0
100002646.0,0.5,-0.006032,0.0,1.0
100002647.0,0.5,-0.005484,0.0,1.0
100002648.0,0.5,-0.001151,0.0,1.0
100002649.0,0.5,-0.00054,0.0,1.0
100002650.0,0.5,-0.000243,0.0,1.0
100002651.0,0.5,0.001407,0.0,1.0
100002653.0,0.5,0.001407,0.0,1.0
100002654.0,0.5,0.001443,0.0,1.0
100002655.0,0.5,0.001089,0.0,1.0
100002657.0,0.5,0.001089,0.0,1.0
100002658.0,0.5,0.001363,0.0,1.0
100002659.0,0.5,0.001363,0.0,1.0
100002660.0,0.5,0.000861,0.0,1.0
100002661.0,0.5,0.000861,0.0,1.0
100002662.0,0.5,0.000918,0.0,1.0
100002664.0,0.5,0.00078,0.0,1.0
100002665.0,0.5,0.000699,0.0,1.0
100002666.0,0.5,0.000354,0.0,1.0
100002667.0,0.5,0.000354,0.0,1.0
100002668.0,0.5,0.000273,0.0,1.0
100002669.0,1.0,0.000455,0.0,1.0
100002670.0,1.0,0.000353,0.0,1.0
100002671.0,1.0,0.00026,0.0,1.0
100002672.0,0.5,0.000195,0.0,1.0
100002673.0,0.5,0.000149,0.0,1.0
100002674.0,0.5,0.000123,0.0,1.0
100002675.0,0.5,9.2e-05,0.0,1.0
100002676.0,0.5,8.1e-05,0.0,1.0
100002677.0,0.5,7.1e-05,0.0,1.0
100002678.0,0.5,5.5e-05,0.0,1.0
100002679.0,0.5,5.3e-05,0.0,1.0
100002680.0,0.5,4e-05,0.0,1.0
100002681.0,0.5,2.5e-05,0.0,1.0
100002682.0,0.5,1e-05,0.0,1.0
100002683.0,0.5,-1.5e-05,0.0,1.0
100002684.0,0.5,-2.8e-05,0.0,1.0
100002685.0,0.5,-3.6e-05,0.0,1.0
100002687.0,0.5,-6.7e-05,0.0,1.0
100002688.0,0.5,-4.5e-05,0.0,1.0
100002689.0,0.5,4e-05,0.0,1.0
100002690.0,0.5,4.6e-05,0.0,1.0
100002691.0,0.5,2.6e-05,0.0,1.0
100002692.0,0.5,-9.3e-05,0.0,1.0
100002693.0,0.5,-0.000109,0.0,1.0
100002694.0,1.0,-4.4e-05,0.0,1.0
100002695.0,1.0,1e-06,0.0,1.0
100002696.0,1.0,1e-06,0.0,1.0
100002697.0,0.5,-1e-06,0.0,1.0
100002698.0,0.5,-1e-06,0.0,1.0
100002699.0,0.5,-1.2e-05,0.0,1.0
100002700.0,0.5,-1.6e-05,0.0,1.0
100002701.0,0.5,-1.6e-05,0.0,1.0
100002702.0,0.5,-3e-06,0.0,1.0
100002703.0,0.5,-3e-06,0.0,1.0
100002704.0,0.5,-2e-06,0.0,1.0
100002705.0,0.5,-8.7e-05,0.0,1.0
100002706.0,0.5,-8.7e-05,0.0,1.0
100002707.0,0.5,-6.3e-05,0.0,1.0
100002708.0,0.5,-6.3e-05,0.0,1.0
100002709.0,0.5,-7e-05,0.0,1.0
100002710.0,0.5,-4.1e-05,0.0,1.0
100002711.0,0.5,4e-06,0.0,1.0
100002712.0,0.5,4e-06,0.0,1.0
100002713.0,0.5,2e-06,0.0,1.0
100002715.0,0.5,-9.6e-05,0.0,1.0
100002717.0,1.0,8.5e-05,0.0,1.0
100002718.0,1.0,8.5e-05,0.0,1.0
100002719.0,0.5,9e-06,0.0,1.0
100002721.0,0.5,-1.9e-05,0.0,1.0
100002722.0,0.5,-2.3e-05,0.0,1.0
100002723.0,0.5,-2.5e-05,0.0,1.0
100002724.0,0.5,-1.4e-05,0.0,1.0
100002725.0,0.5,-1.5e-05,0.0,1.0
100002726.0,0.5,-5e-06,0.0,1.0
100002727.0,0.5,-1.5e-05,0.0,1.0
100002730.0,0.5,-6.9e-05,0.0,1.0
100002731.0,0.5,-3.8e-05,0.0,1.0
100002732.0,0.5,-4.8e-05,0.0,1.0
100002734.0,0.5,-4.6e-05,0.0,1.0
100002735.0,0.5,-4.6e-05,0.0,1.0
100002736.0,0.5,-5.4e-05,0.0,1.0
100002737.0,0.5,-4.1e-05,0.0,1.0
100002737.0,0.5,-4.1e-05,0.0,1.0
100002739.0,1.0,8.6e-05,0.0,1.0
100002740.0,1.0,-5.4e-05,0.0,1.0
100002741.0,0.5,-2.2e-05,0.0,1.0
100002742.0,0.5,-2.5e-05,0.0,1.0
100002744.0,0.5,-2.5e-05,0.0,1.0
100002746.0,0.5,-2.8e-05,0.0,1.0
100002746.0,0.5,-2.8e-05,0.0,1.0
100002747.0,0.5,-2.8e-05,0.0,1.0
100002749.0,0.5,-2.9e-05,0.0,1.0
100002750.0,0.5,-3e-05,0.0,1.0
100002751.0,0.5,-2.4e-05,0.0,1.0
100002752.0,0.5,2.9e-05,0.0,1.0
100002753.0,0.5,6.5e-05,0.0,1.0
100002754.0,0.5,4e-05,0.0,1.0
100002755.0,0.5,4.6e-05,0.0,1.0
100002756.0,0.5,2.5e-05,0.0,1.0
100002757.0,0.5,3.6e-05,0.0,1.0
100002758.0,0.5,3.6e-05,0.0,1.0
100002759.0,0.5,1e-06,0.0,1.0
100002761.0,0.5,-0.000102,0.0,1.0
100002763.0,1.0,-1.1e-05,0.0,1.0
100002762.0,1.0,-1.1e-05,0.0,1.0
100002764.0,1.0,-2.7e-05,0.0,1.0
100002765.0,0.5,-4e-05,0.0,1.0
100002766.0,0.5,-3.7e-05,0.0,1.0
100002767.0,0.5,-3.7e-05,0.0,1.0
100002768.0,0.5,-3.1e-05,0.0,1.0
100002769.0,0.5,-1.9e-05,0.0,1.0
100002771.0,0.5,-1.5e-05,0.0,1.0
100002773.0,0.5,-1.2e-05,0.0,1.0
100002774.0,0.5,4.6e-05,0.0,1.0
100002775.0,0.5,4.6e-05,0.0,1.0
100002776.0,0.5,4.3e-05,0.0,1.0
100002777.0,0.5,-2e-05,0.0,1.0
100002779.0,0.5,-5.1e-05,0.0,1.0
100002781.0,0.5,4.7e-05,0.0,1.0
100002781.0,0.5,4.7e-05,0.0,1.0
100002782.0,0.5,-0.000129,0.0,1.0
100002783.0,1.0,-0.000101,0.0,1.0
100002785.0,1.0,-3.9e-05,0.0,1.0
100002786.0,1.0,-3.9e-05,0.0,1.0
100002787.0,0.5,-5.3e-05,0.0,1.0
100002788.0,0.5,-4.6e-05,0.0,1.0
100002789.0,0.5,-3.9e-05,0.0,1.0
100002790.0,0.5,-3.6e-05,0.0,1.0
100002791.0,0.5,-2.1e-05,0.0,1.0
100002792.0,0.5,-2.1e-05,0.0,1.0
100002793.0,0.5,-2.5e-05,0.0,1.0
100002794.0,0.5,-5.4e-05,0.0,1.0
100002795.0,0.5,-5.4e-05,0.0,1.0
100002797.0,0.5,-4.7e-05,0.0,1.0
100002797.0,0.5,-4.7e-05,0.0,1.0
100002798.0,0.5,-6e-05,0.0,1.0
100002799.0,0.5,-2.5e-05,0.0,1.0
100002800.0,0.5,1.7e-05,0.0,1.0
100002801.0,0.5,6e-06,0.0,1.0
100002802.0,0.5,6e-06,0.0,1.0
100002803.0,0.5,-8e-06,0.0,1.0
100002804.0,1.0,4e-06,0.0,1.0
100002805.0,1.0,-4.8e-05,0.0,1.0
100002806.0,0.5,-0.0001,0.0,1.0
100002807.0,0.5,-0.00011,0.0,1.0
100002808.0,0.5,-9.4e-05,0.0,1.0
100002809.0,0.5,-4.4e-05,0.0,1.0
100002811.0,0.5,-6.2e-05,0.0,1.0
100002812.0,0.5,8.2e-05,0.0,1.0
100002813.0,0.5,8.1e-05,0.0,1.0
100002814.0,0.5,5.3e-05,0.0,1.0
100002815.0,0.5,5.7e-05,0.0,1.0
100002816.0,0.5,-9e-05,0.0,1.0
100002818.0,1.0,5.5e-05,0.0,1.0
100002819.0,0.5,1.4e-05,0.0,1.0
100002820.0,0.5,1.2e-05,0.0,1.0
100002822.0,0.5,-5.2e-05,0.0,1.0
100002823.0,1.0,2.8e-05,0.0,1.0
100002824.0,1.0,2.8e-05,0.0,1.0
100002825.0,1.0,2.8e-05,0.0,1.0
100002826.0,1.0,2.8e-05,0.0,1.0
100002827.0,1.0,2.8e-05,0.0,1.0
100002828.0,0.5,-7.5e-05,0.0,1.0
100002829.0,0.5,-7.2e-05,0.0,1.0
100002830.0,0.5,-4.3e-05,0.0,1.0
100002831.0,0.5,-1e-05,0.0,1.0
100002832.0,0.5,5.7e-05,0.0,1.0
100002833.0,0.5,5.8e-05,0.0,1.0
100002834.0,0.5,3.9e-05,0.0,1.0
100002835.0,0.5,-9.1e-05,0.0,1.0
100002836.0,0.5,8.1e-05,0.0,1.0
100002837.0,0.5,4.7e-05,0.0,1.0
100002838.0,0.5,-7.3e-05,0.0,1.0
100002840.0,1.0,-2.1e-05,0.0,1.0
100002843.0,0.5,-0.000107,0.0,1.0
100002844.0,0.5,-7.5e-05,0.0,1.0
100002845.0,0.5,-6.5e-05,0.0,1.0
100002846.0,0.5,-5.4e-05,0.0,1.0
100002849.0,0.5,-4.3e-05,0.0,1.0
100002851.0,0.5,5e-05,0.0,1.0
100002852.0,0.5,-2.5e-05,0.0,1.0
100002853.0,0.5,2.4e-05,0.0,1.0
100002854.0,0.5,2.1e-05,0.0,1.0
100002856.0,0.5,4.9e-05,0.0,1.0
100002857.0,0.5,4.9e-05,0.0,1.0
100002858.0,0.5,1.8e-05,0.0,1.0
100002859.0,0.5,4.1e-05,0.0,1.0
100002860.0,1.0,-3e-06,0.0,1.0
100002861.0,1.0,-0.000118,0.0,1.0
100002862.0,1.0,-0.000118,0.0,1.0
100002863.0,0.5,-0.000116,0.0,1.0
100002864.0,0.5,-0.00011,0.0,1.0
100002866.0,0.5,-8e-05,0.0,1.0
100002867.0,0.5,-3.5e-05,0.0,1.0
100002868.0,0.5,-2.7e-05,0.0,1.0
100002870.0,0.5,0.0,0.0,1.0
100002871.0,0.5,0.0,0.0,1.0
100002872.0,0.5,3.3e-05,0.0,1.0
100002873.0,0.5,-4.5e-05,0.0,1.0
100002874.0,0.5,-3.9e-05,0.0,1.0
100002875.0,0.5,2e-05,0.0,1.0
100002876.0,0.5,4e-05,0.0,1.0
100002877.0,0.5,9e-06,0.0,1.0
100002878.0,0.5,-6.8e-05,0.0,1.0
100002879.0,0.5,5.4e-05,0.0,1.0
100002880.0,0.5,6.3e-05,0.0,1.0
100002881.0,1.0,4.6e-05,0.0,1.0
100002882.0,1.0,5.1e-05,0.0,1.0
100002883.0,1.0,-1.2e-05,0.0,1.0
100002884.0,0.5,-7.6e-05,0.0,1.0
100002885.0,0.5,-8.5e-05,0.0,1.0
100002886.0,0.5,-9.1e-05,0.0,1.0
100002888.0,0.5,-4.2e-05,0.0,1.0
100002889.0,0.5,-3.5e-05,0.0,1.0
100002891.0,0.5,-1.8e-05,0.0,1.0
100002892.0,0.5,-2.5e-05,0.0,1.0
100002893.0,0.5,4.5e-05,0.0,1.0
100002895.0,0.5,-1.6e-05,0.0,1.0
100002896.0,0.5,-5.1e-05,0.0,1.0
100002897.0,0.5,-2.7e-05,0.0,1.0
100002898.0,0.5,-2.7e-05,0.0,1.0
100002899.0,0.5,4e-06,0.0,1.0
100002900.0,0.5,7.5e-05,0.0,1.0
100002901.0,0.5,-5.2e-05,0.0,1.0
100002903.0,1.0,-5.9e-05,0.0,1.0
100002902.0,1.0,-5.9e-05,0.0,1.0
100002904.0,1.0,-8e-05,0.0,1.0
100002905.0,1.0,3.3e-05,0.0,1.0
100002906.0,0.5,-5e-06,0.0,1.0
100002907.0,0.5,-5e-06,0.0,1.0
100002910.0,0.5,-7e-06,0.0,1.0
100002911.0,0.5,-7e-06,0.0,1.0
100002912.0,0.5,-1.4e-05,0.0,1.0
100002913.0,0.5,-6e-06,0.0,1.0
100002914.0,0.5,-6e-06,0.0,1.0
100002915.0,0.5,1.6e-05,0.0,1.0
100002916.0,0.5,7.5e-05,0.0,1.0
100002917.0,0.5,5.4e-05,0.0,1.0
100002918.0,0.5,-3.2e-05,0.0,1.0
100002919.0,0.5,-5.3e-05,0.0,1.0
100002920.0,0.5,-5.3e-05,0.0,1.0
100002921.0,0.5,-3.3e-05,0.0,1.0
100002922.0,0.5,-4e-06,0.0,1.0
100002923.0,0.5,9.9e-05,0.0,1.0
100002924.0,0.5,3.2e-05,0.0,1.0
100002925.0,1.0,0.000106,0.0,1.0
100002926.0,1.0,0.000106,0.0,1.0
100002927.0,1.0,7e-05,0.0,1.0
100002928.0,0.5,-7.8e-05,0.0,1.0
100002929.0,0.5,-8.3e-05,0.0,1.0
100002930.0,0.5,-6.1e-05,0.0,1.0
100002931.0,0.5,-5.6e-05,0.0,1.0
100002932.0,0.5,-4.5e-05,0.0,1.0
100002933.0,0.5,-3.6e-05,0.0,1.0
100002934.0,0.5,-3.4e-05,0.0,1.0
100002935.0,0.5,-1.8e-05,0.0,1.0
100002936.0,0.5,-1.8e-05,0.0,1.0
100002937.0,0.5,-1.2e-05,0.0,1.0
100002938.0,0.5,-7e-06,0.0,1.0
100002939.0,0.5,5.2e-05,0.0,1.0
100002940.0,0.5,4.6e-05,0.0,1.0
100002941.0,0.5,-2.6e-05,0.0,1.0
100002942.0,0.5,9.1e-05,0.0,1.0
100002943.0,0.5,8.3e-05,0.0,1.0
100002944.0,0.5,-2e-05,0.0,1.0
100002945.0,0.5,5.5e-05,0.0,1.0
100002946.0,0.5,-0.000102,0.0,1.0
100002947.0,0.5,-0.000143,0.0,1.0
100002948.0,0.5,-0.000143,0.0,1.0
100002949.0,1.0,-0.000254,0.0,1.0
100002951.0,0.5,-0.00703,0.0,1.0
100002952.0,0.5,-0.00703,0.0,1.0
100002953.0,0.5,-0.004799,0.0,1.0
100002953.0,0.5,-0.004799,0.0,1.0
100002955.0,0.5,-0.017358,0.0,1.0
100002956.0,0.5,-0.013568,0.0,1.0
100002957.0,0.5,-0.013568,0.0,1.0
100002958.0,0.5,-0.022116,0.0,1.0
100002959.0,0.5,-0.019085,0.0,1.0
100002960.0,0.5,-0.014755,0.0,1.0
100002962.0,0.5,-0.026498,0.0,1.0
100002963.0,0.5,-0.020747,0.0,1.0
100002965.0,0.5,-0.017189,0.0,1.0
100002966.0,0.5,-0.027938,0.0,1.0
100002968.0,0.5,-0.024492,0.0,1.0
100002969.0,0.5,-0.024492,0.0,1.0
100002970.0,0.5,-0.03379,0.0,1.0
100002971.0,1.0,-0.030921,0.0,1.0
100002973.0,1.0,-0.027738,0.0,1.0
100002975.0,1.0,-0.027738,0.0,1.0
100002977.0,1.0,-0.027738,0.0,1.0
100002976.0,1.0,-0.027738,0.0,1.0
100002978.0,0.5,-0.019707,0.0,1.0
100002979.0,0.5,-0.019707,0.0,1.0
100002980.0,0.5,-0.021207,0.0,1.0
